spp,date,TBOH,TWOH,TWKO,FLOH,SBOH,TWNAIO
AKEP,80-10,22.7586206896552,72.0689655172414,0,0,5.17241379310345,0
AKEP,80-11,48.7124463519313,44.8497854077253,0,0,6.43776824034335,0
AKEP,81-01,18.1818181818182,70.4545454545455,5.68181818181818,0,5.68181818181818,0
AKEP,81-03,39.7748592870544,48.4052532833021,7.5046904315197,0,4.31519699812383,0
AKEP,81-04,20.2156334231806,58.2210242587601,5.39083557951482,9.43396226415094,6.73854447439353,0
AKEP,81-05,38.9776357827476,53.6741214057508,0.958466453674122,0,0,6.38977635782748
AKEP,81-06,28.4507042253521,52.112676056338,7.32394366197183,0.563380281690141,2.8169014084507,8.73239436619718
AKEP,81-07,18.9435336976321,49.5446265938069,13.4790528233151,0,7.10382513661202,10.9289617486339
AKEP,81-08,28.8288288288288,35.1351351351351,28.8288288288288,0.900900900900901,6.30630630630631,0
AKEP,81-09,57.5396825396825,34.7222222222222,1.98412698412698,0,5.75396825396825,0
AKEP,81-10,18.3673469387755,75.5102040816327,2.04081632653061,0,2.04081632653061,2.04081632653061
AKEP,81-11,20,69.3333333333333,3.33333333333333,0,7.33333333333333,0
AKEP,81-12,22.4343675417661,52.0286396181384,14.0811455847255,0,11.4558472553699,0
AKEP,82-01,13.3333333333333,64.4444444444444,16.6666666666667,0,0,5.55555555555556
AKEP,82-02,45.5555555555556,33.8888888888889,0,4.44444444444445,16.1111111111111,0
AKEP,82-04,0,54.6153846153846,0,37.6923076923077,7.69230769230769,0
IIWI,77-05,46.1538461538462,1.28205128205128,36.8589743589744,9.2948717948718,0,6.41025641025641
IIWI,77-06,44.299674267101,15.9609120521173,31.5960912052117,8.14332247557003,0,0
IIWI,77-07,69.6132596685083,18.8766114180479,10.4051565377532,1.10497237569061,0,0
IIWI,77-08,59.6763764705882,3.92156862745098,20.3921568627451,8.55891764705883,7.45098039215686,0
IIWI,77-09,63.4241245136187,11.6731517509728,8.94941634241245,0.389105058365759,15.5642023346303,0
IIWI,77-10,40.7114624505929,11.8577075098814,34.7826086956522,0,12.6482213438735,0
IIWI,77-11,28.680981595092,12.1165644171779,43.2515337423313,3.68098159509202,12.2699386503068,0
IIWI,77-12,19.6480938416422,26.2463343108504,45.3079178885631,8.79765395894428,0,0
IIWI,78-01,42.4242424242424,12.4242424242424,34.5454545454545,4.54545454545455,0,6.06060606060606
IIWI,78-02,81.3609467455621,13.905325443787,1.77514792899408,0,0,2.9585798816568
IIWI,78-03,44.3795620437956,21.4598540145985,5.54744525547445,19.8540145985401,2.91970802919708,5.83941605839416
IIWI,78-04,56.2286689419795,19.7098976109215,10.0682593856655,8.87372013651877,0,5.11945392491468
IIWI,78-05,52.9986052998605,23.0125523012552,17.2942817294282,1.11576011157601,0,5.57880055788006
IIWI,78-06,69.9710144927536,11.1884057971014,12.463768115942,6.3768115942029,0,0
IIWI,78-07,51.0526315789474,17.8947368421053,21.5789473684211,3.94736842105263,5.52631578947368,0
IIWI,78-08,43.59375,31.40625,21.875,0,3.125,0
IIWI,78-09,26.2123197903014,6.15989515072084,52.1625163826999,0,15.4652686762778,0
IIWI,78-10,37.0867768595041,18.801652892562,34.297520661157,3.61570247933884,6.19834710743802,0
IIWI,78-11,31.0344827586207,17.2413793103448,36.7816091954023,14.9425287356322,0,0
IIWI,78-12,23.4782608695652,39.7826086956522,32.3913043478261,4.34782608695652,0,0
IIWI,79-01,11.4285714285714,40.7142857142857,32.6785714285714,5.89285714285714,2.14285714285714,7.14285714285714
IIWI,79-02,23.3363444745559,33.1526648599819,17.9162902740138,16.5612767238784,0,9.03342366757001
IIWI,79-03,26.875,36.125,13.375,1.375,0,22.25
