date,spp,actb,value
80-10,AKEP,TROH,0
80-10,AKEP,OTOT,0
80-11,AKEP,FLOH,0
80-11,AKEP,FLNAIO,0
80-11,AKEP,FRNAIO,0
80-11,AKEP,FROL,0
80-11,AKEP,TBOH,0.42037037037037
80-11,AKEP,TWOH,0.387037037037037
80-11,AKEP,TWNAIO,0
80-11,AKEP,TWKO,0
80-11,AKEP,SBOH,0.0555555555555556
80-11,AKEP,SBNAIO,0.037037037037037
80-11,AKEP,SBKO,0.037037037037037
80-11,AKEP,BROH,0.0259259259259259
80-11,AKEP,BRNAIO,0
80-11,AKEP,BRKO,0
80-11,AKEP,TROH,0
80-11,AKEP,OTOT,0.037037037037037
81-01,AKEP,FLOH,0
81-01,AKEP,FLNAIO,0
81-01,AKEP,FRNAIO,0
81-01,AKEP,FROL,0
81-01,AKEP,TBOH,0.16
81-01,AKEP,TWOH,0.62
81-01,AKEP,TWNAIO,0
81-01,AKEP,TWKO,0.05
81-01,AKEP,SBOH,0.05
81-01,AKEP,SBNAIO,0.01
81-01,AKEP,SBKO,0.1
81-01,AKEP,BROH,0
81-01,AKEP,BRNAIO,0
81-01,AKEP,BRKO,0.01
81-01,AKEP,TROH,0
81-01,AKEP,OTOT,0
81-03,AKEP,FLOH,0
81-03,AKEP,FLNAIO,0
81-03,AKEP,FRNAIO,0
81-03,AKEP,FROL,0
81-03,AKEP,TBOH,0.378571428571429
81-03,AKEP,TWOH,0.460714285714286
81-03,AKEP,TWNAIO,0
81-03,AKEP,TWKO,0.0714285714285714
81-03,AKEP,SBOH,0.0410714285714286
81-03,AKEP,SBNAIO,0.0214285714285714
81-03,AKEP,SBKO,0
81-03,AKEP,BROH,0.0214285714285714
81-03,AKEP,BRNAIO,0
81-03,AKEP,BRKO,0
81-03,AKEP,TROH,0.00357142857142857
81-03,AKEP,OTOT,0.00178571428571429
81-04,AKEP,FLOH,0.0833333333333333
81-04,AKEP,FLNAIO,0
81-04,AKEP,FRNAIO,0
81-04,AKEP,FROL,0
81-04,AKEP,TBOH,0.178571428571429
81-04,AKEP,TWOH,0.514285714285714
81-04,AKEP,TWNAIO,0
81-04,AKEP,TWKO,0.0476190476190476
81-04,AKEP,SBOH,0.0595238095238095
81-04,AKEP,SBNAIO,0.107142857142857
81-04,AKEP,SBKO,0
81-04,AKEP,BROH,0
81-04,AKEP,BRNAIO,0
81-04,AKEP,BRKO,0.00952380952380952
81-04,AKEP,TROH,0
81-04,AKEP,OTOT,0
81-05,AKEP,FLOH,0
81-05,AKEP,FLNAIO,0
81-05,AKEP,FRNAIO,0
81-05,AKEP,FROL,0
81-05,AKEP,TBOH,0.36969696969697
81-05,AKEP,TWOH,0.509090909090909
81-05,AKEP,TWNAIO,0.0606060606060606
81-05,AKEP,TWKO,0.00909090909090909
81-05,AKEP,SBOH,0
81-05,AKEP,SBNAIO,0.0212121212121212
81-05,AKEP,SBKO,0
81-05,AKEP,BROH,0
81-05,AKEP,BRNAIO,0
81-05,AKEP,BRKO,0
81-05,AKEP,TROH,0
81-05,AKEP,OTOT,0.0303030303030303
81-06,AKEP,FLOH,0.00512820512820513
81-06,AKEP,FLNAIO,0
81-06,AKEP,FRNAIO,0
81-06,AKEP,FROL,0
81-06,AKEP,TBOH,0.258974358974359
81-06,AKEP,TWOH,0.474358974358974
81-06,AKEP,TWNAIO,0.0794871794871795
81-06,AKEP,TWKO,0.0666666666666667
81-06,AKEP,SBOH,0.0256410256410256
81-06,AKEP,SBNAIO,0.0384615384615385
81-06,AKEP,SBKO,0.0256410256410256
81-06,AKEP,BROH,0
81-06,AKEP,BRNAIO,0
81-06,AKEP,BRKO,0.0256410256410256
81-06,AKEP,TROH,0
81-06,AKEP,OTOT,0
81-07,AKEP,FLOH,0
81-07,AKEP,FLNAIO,0
81-07,AKEP,FRNAIO,0.00882352941176471
81-07,AKEP,FROL,0
81-07,AKEP,TBOH,0.152941176470588
81-07,AKEP,TWOH,0.4
